,date,close,open,high,low,flucamount,amplitude,turnoverrate,rv,rv_w,rv_m,SMA,SD,Upper_band,Lower_Band,RSI,M12,High-Low,High-Close Prev,Low-Close Prev,True Range,ATR
0,2023-11-01,3571.03,3605.76,3606.41,3564.64,-1.48,1.17,0.3191,0.002717437,,,,,,,,,41.76999999999998,,,41.76999999999998,
1,2023-11-02,3554.19,3580.07,3597.17,3553.74,-16.84,1.22,0.2953,0.002917614,,,,,,,,,43.43000000000029,26.139999999999873,17.29000000000042,43.43000000000029,
2,2023-11-03,3584.14,3558.53,3596.1,3558.53,29.95,1.06,0.3188,0.003910115,,,,,,,,,37.56999999999971,41.909999999999854,4.3400000000001455,41.909999999999854,
3,2023-11-06,3632.61,3608.32,3635.79,3600.63,48.47,0.98,0.5,0.004482587,,,,,,,,,35.159999999999854,51.65000000000009,16.490000000000236,51.65000000000009,
4,2023-11-07,3619.76,3623.78,3628.46,3606.3,-12.85,0.61,0.3604,0.002157584,0.003237067,,,,,,,,22.159999999999854,4.150000000000091,26.309999999999945,26.309999999999945,
5,2023-11-08,3611.07,3610.64,3627.05,3591.82,-8.69,0.97,0.3614,0.003987519,0.003491084,,,,,,,,35.23000000000002,7.289999999999964,27.940000000000055,35.23000000000002,
6,2023-11-09,3612.83,3603.11,3624.41,3601.37,1.75,0.64,0.3655,0.004014667,0.003710495,,,,,,,,23.039999999999964,13.33999999999969,9.700000000000273,23.039999999999964,
7,2023-11-10,3586.49,3596.07,3599.45,3576.1,-26.34,0.65,0.3336,0.002501013,0.003428674,,,,,,,,23.34999999999991,13.38000000000011,36.73000000000002,36.73000000000002,
8,2023-11-13,3579.41,3593.91,3599.39,3562.77,-7.08,1.02,0.316,0.002568288,0.003045814,,,,,,,,36.61999999999989,12.900000000000091,23.7199999999998,36.61999999999989,
9,2023-11-14,3582.06,3581.1,3600.15,3568.88,2.64,0.87,0.3296,0.001824549,0.002979207,,,,,,,,31.269999999999982,20.740000000000236,10.529999999999745,31.269999999999982,
10,2023-11-15,3607.25,3616.88,3620.6,3596.92,25.19,0.66,0.3429,0.002015872,0.002584878,,,,,,,,23.679999999999836,38.539999999999964,14.860000000000127,38.539999999999964,
11,2023-11-16,3572.36,3600.98,3605.29,3572.36,-34.88,0.91,0.2858,0.002133753,0.002208695,,,,,,,,32.929999999999836,1.9600000000000364,34.88999999999987,34.88999999999987,
12,2023-11-17,3568.07,3561.31,3573.68,3547.03,-4.3,0.75,0.2853,0.00291907,0.002292306,,,,,,,-0.0008288925044035445,26.649999999999636,1.319999999999709,25.329999999999927,26.649999999999636,
13,2023-11-20,3576.32,3569.73,3586.97,3545.1,8.25,1.17,0.2976,0.003111053,0.002400859,,,,,,51.163916391639155,0.006226453847430813,41.86999999999989,18.899999999999636,22.970000000000255,41.86999999999989,36.422142857142816
14,2023-11-21,3581.07,3587.88,3615.06,3575.68,4.74,1.1,0.3548,0.003044333,0.002644816,,,,,,52.16379310344827,-0.0008565513623909338,39.38000000000011,38.73999999999978,0.6400000000003274,39.38000000000011,36.25142857142854
15,2023-11-22,3544.42,3569.44,3574.38,3544.42,-36.65,0.84,0.277,0.001910812,0.002623804,,,,,,48.06004527222906,-0.02427731025350921,29.960000000000036,6.690000000000055,36.65000000000009,36.65000000000009,35.76714285714281
16,2023-11-23,3561.52,3541.44,3562.07,3529.94,17.1,0.91,0.2771,0.003171256,0.002831305,,,,,,45.26699029126216,-0.016089464494883687,32.13000000000011,17.65000000000009,14.480000000000018,32.13000000000011,35.068571428571396
17,2023-11-24,3538.01,3560.65,3560.65,3534.0,-23.51,0.75,0.2777,0.002185685,0.002684628,,,,,,27.89719626168221,-0.020232230336160728,26.65000000000009,0.8699999999998909,27.519999999999982,27.519999999999982,33.34499999999996
18,2023-11-27,3511.94,3534.44,3534.44,3492.86,-26.07,1.18,0.3237,0.003231595,0.002708736,,,,,,26.27409559017687,-0.027925476703858143,41.57999999999993,3.5700000000001637,45.15000000000009,45.15000000000009,34.69071428571426
19,2023-11-28,3518.52,3510.66,3521.05,3501.11,6.58,0.57,0.2918,0.003483691,0.002796608,,3575.6535000000003,32.08947675927745,3639.832453518555,3511.4745464814455,29.443383234862893,-0.018951676987806976,19.940000000000055,9.110000000000127,10.829999999999927,19.940000000000055,33.598571428571404
20,2023-11-29,3488.31,3518.88,3519.2,3482.24,-30.22,1.05,0.3229,0.002437211,0.002901887,,3571.5175000000004,37.57822450008708,3646.6739490001746,3496.361050999826,25.44565388862597,-0.025451121832927748,36.960000000000036,0.6799999999998363,36.2800000000002,36.960000000000036,34.59285714285712
