,date,open,close,high,low,volume,amount,amplitude,flucrange,flucamount,turnoverrate,Date,SMA,SD,Upper_band,RSI,M12
0,2010-01-04,3592.47,3535.23,3597.75,3535.23,66101080,93419838921.0,1.75,-1.13,-40.45,0.22,2010-01-04,,,,,
1,2010-01-05,3545.19,3564.04,3577.53,3497.66,85809641,128302442618.0,2.26,0.81,28.81,0.28,2010-01-05,,,,,
2,2010-01-06,3558.7,3541.73,3588.83,3541.17,78473125,121045989916.0,1.34,-0.63,-22.31,0.26,2010-01-06,,,,,
3,2010-01-07,3543.16,3471.46,3558.56,3452.77,80350037,120436166283.0,2.99,-1.98,-70.27,0.26,2010-01-07,,,,,
4,2010-01-08,3456.91,3480.13,3482.08,3426.7,60790253,90190959969.0,1.6,0.25,8.67,0.2,2010-01-08,,,,,
5,2010-01-11,3593.11,3482.05,3594.53,3465.32,89980172,134114001104.0,3.71,0.06,1.92,0.29,2010-01-11,,,,,
6,2010-01-12,3477.84,3534.92,3535.41,3437.66,93743278,134071416354.0,2.81,1.52,52.87,0.31,2010-01-12,,,,,
7,2010-01-13,3448.29,3421.14,3490.11,3415.69,112457901,159860384574.0,2.11,-3.22,-113.78,0.37,2010-01-13,,,,,
8,2010-01-14,3433.47,3469.05,3470.32,3411.81,83353252,118107870086.0,1.71,1.4,47.91,0.27,2010-01-14,,,,,
9,2010-01-15,3472.52,3482.74,3500.07,3448.66,72543102,104035175785.0,1.48,0.39,13.69,0.24,2010-01-15,,,,,
10,2010-01-18,3471.78,3500.68,3501.26,3458.04,82854307,117884258544.0,1.24,0.52,17.94,0.27,2010-01-18,,,,,
11,2010-01-19,3506.81,3507.48,3528.39,3497.09,74883232,108023525533.0,0.89,0.19,6.8,0.24,2010-01-19,,,,,
12,2010-01-20,3512.25,3394.43,3515.45,3387.82,92495146,128416164613.0,3.64,-3.22,-113.05,0.3,2010-01-20,,,,,-0.03982767740712778
13,2010-01-21,3397.04,3408.57,3425.18,3364.72,70595068,100076607006.0,1.78,0.42,14.14,0.23,2010-01-21,,,,37.63472352389882,-0.04362184487267251
14,2010-01-22,3364.45,3366.2,3390.8,3293.19,88933404,119197815814.0,2.86,-1.24,-42.37,0.29,2010-01-22,,,,34.759165419364166,-0.049560525505896846
15,2010-01-25,3340.01,3328.01,3372.43,3326.27,56849171,76626626843.0,1.37,-1.13,-38.19,0.19,2010-01-25,,,,29.07201503786071,-0.04132267115277144
16,2010-01-26,3328.11,3242.8,3341.2,3222.14,61752231,81586059213.0,3.58,-2.56,-85.21,0.2,2010-01-26,,,,26.154656115888443,-0.0681957283204937
17,2010-01-27,3243.04,3198.57,3255.12,3183.36,52691394,70540273182.0,2.21,-1.36,-44.23,0.17,2010-01-27,,,,27.28831333122497,-0.08141181200729453
18,2010-01-28,3195.29,3206.57,3220.31,3168.46,46990716,64082115658.0,1.62,0.25,8.0,0.15,2010-01-28,,,,27.2071321446426,-0.0928875335226822
19,2010-01-29,3190.31,3204.16,3249.46,3176.92,50262613,68018118702.0,2.26,-0.08,-2.41,0.16,2010-01-29,3416.9980000000005,120.7870968448639,3658.5721936897285,26.865249171647903,-0.06342330334333002
20,2010-02-01,3198.23,3152.71,3198.31,3116.44,57001380,75982150475.0,2.56,-1.61,-51.45,0.19,2010-02-01,3397.8720000000003,130.9387554947973,3659.749510989595,18.10504531268259,-0.0911892304809675
21,2010-02-02,3170.78,3146.19,3211.94,3143.08,50130033,68318412373.0,2.18,-0.21,-6.52,0.16,2010-02-02,3376.9795,136.2575521605664,3649.4946043211326,22.052814539245034,-0.09663368497217706
22,2010-02-03,3160.71,3230.72,3231.1,3094.57,64798894,87536249983.0,4.34,2.69,84.53,0.21,2010-02-03,3361.429,134.19723171119202,3629.823463422384,27.453503112406082,-0.07711644594764444
23,2010-02-04,3206.43,3218.8,3242.52,3190.44,58972726,75466552963.0,1.61,-0.37,-11.92,0.19,2010-02-04,3348.796,135.18280019058784,3619.1616003811755,24.946844862935734,-0.08230410437122948
24,2010-02-05,3147.72,3153.09,3177.42,3129.92,59105845,73693132366.0,1.48,-2.04,-65.71,0.19,2010-02-05,3332.4439999999995,138.20615049913454,3608.8563009982686,19.75005656797734,-0.07109882955312075
25,2010-02-08,3152.25,3150.99,3172.31,3133.81,37355951,47902429250.0,1.22,-0.07,-2.1,0.12,2010-02-08,3315.8910000000005,139.16696208435897,3594.2249241687186,18.719618131723493,-0.07556834684339775
26,2010-02-09,3147.76,3169.19,3178.95,3144.48,35953158,45222660374.0,1.09,0.58,18.2,0.12,2010-02-09,3297.6045,132.75243724494698,3563.109374489894,26.289527980125527,-0.05852593428792108
27,2010-02-10,3195.14,3214.13,3214.46,3182.83,34219894,48152144637.0,1.0,1.42,44.94,0.11,2010-02-10,3287.254,130.66737556019623,3548.5887511203923,30.778203962196997,-0.034218647179545814
