,Unnamed: 0.1,Unnamed: 0,date,RV,RV_weekly,RV_monthly
0,0,0,2010-01-04,0.0075515097128399,,
1,1,1,2010-01-05,0.0180213320262564,,
2,2,2,2010-01-06,0.0127188536492962,,
3,3,3,2010-01-07,0.0197348262848705,,
4,4,4,2010-01-08,0.0190272118491682,0.01541074670448624,
5,5,5,2010-01-11,0.0177430736102807,0.017449059483974398,
6,6,6,2010-01-12,0.016811059130112,0.01720700490474552,
7,7,7,2010-01-13,0.0214137078538229,0.018945975745650857,
8,8,8,2010-01-14,0.0111716926581561,0.01723334902030798,
9,9,9,2010-01-15,0.0113206378151789,0.01569203421351012,
10,10,10,2010-01-18,0.0062117963308661,0.013385778757627202,
11,11,11,2010-01-19,0.0075060540137501,0.011524777734354818,
12,12,12,2010-01-20,0.0224607423070903,0.0117341846250083,
13,13,13,2010-01-21,0.0240634047761653,0.01431252704861014,
14,14,14,2010-01-22,0.0395317545014521,0.019954750385864778,
15,15,15,2010-01-25,0.0150393591877763,0.02172026295724682,
16,16,16,2010-01-26,0.0339206895612418,0.027003190066745158,
17,17,17,2010-01-27,0.028806438337098,0.0282723292727467,
18,18,18,2010-01-28,0.0193864846918326,0.02733694525588016,
19,19,19,2010-01-29,0.0180732567730201,0.023045245710193757,
20,20,20,2010-02-01,0.0304204633127087,0.026121466535180236,0.019092111827761105
21,21,21,2010-02-02,0.0161923620187276,0.0225758010266774,0.019503580985184326
22,22,22,2010-02-03,0.0420675639552958,0.02522802615031696,0.02064863964847192
23,23,23,2010-02-04,0.0149811966399192,0.02434696853993428,0.020756370267073016
24,24,24,2010-02-05,0.0196999407641676,0.02467230533816378,0.020754709051801448
25,25,25,2010-02-08,0.0137179620273791,0.02133180508109786,0.02050188763171625
26,26,26,2010-02-09,0.0091861003410998,0.0199305527455723,0.02009441271413621
27,27,27,2010-02-10,0.0039290618385237,0.01230285232221788,0.019480984271679623
28,28,28,2010-02-11,0.0048601401531583,0.0102786410248657,0.018692719143076547
29,29,29,2010-02-12,0.0019590682194365,0.00673046651591948,0.018254022741232757
30,30,30,2010-02-22,0.0082275846157601,0.0056323910335956805,0.018106734493641384
31,31,31,2010-02-23,0.0166079001675056,0.00711675099887684,0.018601787057290885
32,32,32,2010-02-24,0.0105877758907271,0.00844849380931752,0.018748535718099313
33,33,33,2010-02-25,0.0079692821950521,0.00907032221769628,0.01805846618895464
34,34,34,2010-02-26,0.004878930226346,0.00965429461907818,0.017144919781820384
35,35,35,2010-03-01,0.0037730968175607,0.0087633970594383,0.01544212655877794
36,36,36,2010-03-02,0.00661355102895,0.00676452723172718,0.015040897598833827
37,37,37,2010-03-03,0.0057494877736724,0.00579686960831624,0.013699411799425762
38,38,38,2010-03-04,0.0154052660546343,0.00728406638023268,0.013061260738356062
39,39,39,2010-03-05,0.0076848287548439,0.00784524608593226,0.012504039027070887
40,40,40,2010-03-08,0.0046862863699997,0.00802788399642006,0.011866564245974676
41,41,41,2010-03-09,0.0074879418011486,0.00820276215085978,0.010774539412090861
42,42,42,2010-03-10,0.00800452701104,0.0086537699983333,0.010384642506962881
43,43,43,2010-03-11,0.0113714410846956,0.00784700500434556,0.008922922370267632
44,44,44,2010-03-12,0.0099409279438487,0.00829822484214652,0.008682909575216658
45,45,45,2010-03-15,0.0121160687319066,0.009784181314527901,0.008321772811775657
46,46,46,2010-03-16,0.008988756665689,0.01008434428743598,0.00809657255645708
47,47,47,2010-03-17,0.0054617461029899,0.009575788105825959,0.007919222354642324
48,48,48,2010-03-18,0.0056248569362883,0.0084264712761445,0.007999974502154925
49,49,49,2010-03-19,0.0062023848742831,0.0076787626622313795,0.008063890917446581
50,50,50,2010-03-22,0.0056459547664113,0.0063847398691323195,0.008239456943493
51,51,51,2010-03-23,0.0061872956389742,0.00582444766378936,0.008142300325550814
52,52,52,2010-03-24,0.0033681390177293,0.00540572624673724,0.0075118355088948
53,53,53,2010-03-25,0.0064532458802506,0.0055714040355297,0.007314953127443538
54,54,54,2010-03-26,0.0074703491896803,0.00582499689860914,0.007291194412902023
55,55,55,2010-03-29,0.0094210406830685,0.00658001408194058,0.007507485387031667
56,56,56,2010-03-30,0.0047233408588551,0.006287223125916759,0.0075527351032837805
57,57,57,2010-03-31,0.0042964064865963,0.00647287661969016,0.007442394886981224
58,58,58,2010-04-01,0.0036475323032162,0.00591173390428328,0.007342301769340452
59,59,59,2010-04-02,0.0046716918692984,0.0053520024402069,0.006831179189086363
60,60,60,2010-04-06,0.00489643282367,0.0044470808683272,0.006698398430459034
61,61,61,2010-04-07,0.0044095338397909,0.00438431946451436,0.006685219738544329
62,62,62,2010-04-08,0.0052220601954824,0.00456945020629158,0.006577320614464986
63,63,63,2010-04-09,0.0032260536430116,0.00448515447425066,0.006349774263606491
64,64,64,2010-04-12,0.0054503835054345,0.0046408928014778795,0.006067819140784533
65,65,65,2010-04-13,0.029681867475222,0.00959797973178828,0.007007863880373737
66,66,66,2010-04-14,0.0069768239690369,0.010111437757637481,0.006763137939284705
67,67,67,2010-04-15,0.0103969964380598,0.01114642500615296,0.006830196976064266
68,68,68,2010-04-16,0.0085015257322127,0.01220151942399318,0.006974948386979638
69,69,69,2010-04-19,0.0234289958916385,0.015797241901233983,0.007822764527710599
70,70,70,2010-04-20,0.0377926708473297,0.01741940257565552,0.009327063859760438
71,71,71,2010-04-21,0.0104415412073641,0.01811234602332096,0.009555425118853428
72,72,72,2010-04-22,0.0120100590492254,0.018434958545554082,0.009832699566960628
73,73,73,2010-04-23,0.0184313275591768,0.0204209189109469,0.010549994259410509
74,74,74,2010-04-26,0.0107067285307447,0.01787646543876814,0.010752541052291181
75,75,75,2010-04-27,0.0261730366170842,0.01555253859271904,0.011643145215500892
76,76,76,2010-04-28,0.0173733470037892,0.01693889975200406,0.012021826468868544
77,77,77,2010-04-29,0.0131394065600751,0.017164769254174,0.012422591502259973
78,78,78,2010-04-30,0.0317298318447884,0.01982447011129632,0.013728945090745312
79,79,79,2010-05-04,0.0200096252650514,0.02168504945815766,0.014508092374642224
80,80,80,2010-05-05,0.0291072948089514,0.0222719010965311,0.0156716925146257
81,81,81,2010-05-06,0.0297758651928907,0.024752404734351398,0.016856427389350497
82,82,82,2010-05-07,0.0471528449996141,0.0315550924222592,0.018891823158865888
83,83,83,2010-05-10,0.0333285746407683,0.031874840981455176,0.020230228608641404
84,84,84,2010-05-11,0.0336986393469511,0.034612643797835116,0.021681304118352812
85,85,85,2010-05-12,0.0610541989519994,0.041002024626444714,0.02432910485390352
86,86,86,2010-05-13,0.024193745174916,0.03988560062284978,0.02406776569674609
87,87,87,2010-05-14,0.0199072535466925,0.03443648233226546,0.024683500438539216
88,88,88,2010-05-17,0.027278987301259,0.0332265648643636,0.025487404765358226
89,89,89,2010-05-18,0.0513838618370686,0.0367636093623871,0.027529420770351358
90,90,90,2010-05-19,0.0386962949747049,0.0322920285669282,0.02825643501240214
91,91,91,2010-05-20,0.0321113313628549,0.033875545804515975,0.027985895036950963
92,92,92,2010-05-21,0.0368591467510485,0.03726592444538718,0.029243876253316883
93,93,93,2010-05-24,0.0260349309918313,0.037017113183501635,0.029911727298202878
94,94,94,2010-05-25,0.0193500798281552,0.030610356781718962,0.02995547740624947
95,95,95,2010-05-26,0.0203398281067716,0.0269390634081323,0.030414196433679326
96,96,96,2010-05-27,0.0274472298411709,0.026006243103795502,0.030474872301492976
97,97,97,2010-05-28,0.0140646435496914,0.02144734246352408,0.030317314994154982
98,98,98,2010-05-31,0.0255455019907171,0.021349456663301243,0.030908081443233173
99,99,99,2010-06-01,0.0433826797243938,0.026155976642548963,0.03146297896130962
100,100,100,2010-06-02,0.0290700183251448,0.0279020146862236,0.031894426249885505
101,101,101,2010-06-03,0.0179635049018872,0.026005269698366862,0.03136376958764434
102,102,102,2010-06-04,0.0147161035493372,0.026135561698296016,0.030646638080808464
103,103,103,2010-06-07,0.0173810749003615,0.0245026762802249,0.02922893474274882
104,104,104,2010-06-08,0.0132151317591424,0.01846916668717462,0.02827115174838568
105,105,105,2010-06-09,0.0429889099594364,0.02125294501403294,0.028713545587075454
106,106,106,2010-06-10,0.0121003906681607,0.020080322167287636,0.026382411859273612
107,107,107,2010-06-11,0.0091783649913802,0.01897277445569624,0.02566739375529572
108,108,108,2010-06-17,0.0073038730560564,0.016957334086835217,0.02506723277955114
109,109,109,2010-06-18,0.0149364698243716,0.01730160169988106,0.02447949385208031
110,110,110,2010-06-21,0.0217201520006692,0.013047850108127621,0.0230669362408232
111,111,111,2010-06-22,0.0066062551062814,0.01194902299575176,0.021538839104231607
112,112,112,2010-06-23,0.0124019014524246,0.012593730287960642,0.02060029482278254
113,113,113,2010-06-24,0.0161602505441756,0.014365005785584481,0.019614633098645737
114,114,114,2010-06-25,0.0139461707543009,0.014166945971570338,0.019038977849239528
115,115,115,2010-06-28,0.0104551146949904,0.01191393851043458,0.018615408080993583
116,116,116,2010-06-29,0.0371735891874523,0.01802740532666876,0.01941701575150219
117,117,117,2010-06-30,0.0165918193752416,0.018865388911232163,0.018900091443600792
118,118,118,2010-07-01,0.0114817492775522,0.017929688657907478,0.01877709647826083
119,119,119,2010-07-02,0.0361364582770216,0.02236774616245162,0.019281427729989618
120,120,120,2010-07-05,0.0327781667067428,0.026832356564802103,0.018776450919625286
121,121,121,2010-07-06,0.0121843799089388,0.021834514709099397,0.017972372899805952
122,122,122,2010-07-07,0.0098436973693608,0.02048489030792324,0.01758571539825708
123,123,123,2010-07-08,0.0081725496251041,0.01982305037743362,0.017274117592341216
124,124,124,2010-07-09,0.0201520707769551,0.01662617287742032,0.017406069776940907
125,125,125,2010-07-12,0.012282999123584,0.012527139360788558,0.017361682508580983
126,126,126,2010-07-13,0.0111082363213355,0.0123119106432679,0.015843555192480943
127,127,127,2010-07-14,0.0118552278623123,0.0127142167418582,0.015831880773154828
128,128,128,2010-07-15,0.0228598220119876,0.0156516712192349,0.016483378726517086
129,129,129,2010-07-16,0.0181737337826216,0.0152560038203682,0.01700099114206781
130,130,130,2010-07-19,0.0137211653943202,0.01554363707451544,0.016943119502541553
131,131,131,2010-07-20,0.0097261906021764,0.015267227930683618,0.016371978483565704
132,132,132,2010-07-21,0.0131887264811816,0.01553392765445748,0.016685429501418096
133,133,133,2010-07-22,0.0083174756654015,0.012625458385140259,0.016490933035369377
134,134,134,2010-07-23,0.0135296299710408,0.011696637622824099,0.016365665389029622
135,135,135,2010-07-26,0.0088727499941169,0.01072695454278344,0.016124073924258957
136,136,136,2010-07-27,0.0078519826239434,0.010352112947136841,0.0160001152542091
137,137,137,2010-07-28,0.0096635119934655,0.00964707004959362,0.014690111578304969
138,138,138,2010-07-29,0.0132551512601619,0.0106346051685457,0.01453122262044403
139,139,139,2010-07-30,0.0083642399819405,0.00960152717072564,0.014382769796843472
140,140,140,2010-08-02,0.0089648861287143,0.009619954397645122,0.013088885408828839
141,141,141,2010-08-03,0.0182659250505219,0.011702742882960821,0.01239782628234213
142,142,142,2010-08-04,0.0212570570669176,0.01402145189765124,0.012829858527960166
143,143,143,2010-08-05,0.0181638372254309,0.01500318909070504,0.013226055663963504
144,144,144,2010-08-06,0.0124117178884534,0.015812684672007617,0.01342792081936109
145,145,145,2010-08-09,0.0113520775891909,0.01629012296410294,0.013008873524705653
146,146,146,2010-08-10,0.0200110771612561,0.01663915338624978,0.013376877240785276
147,147,147,2010-08-11,0.0187259178821165,0.016132925549289558,0.013739623981774848
148,148,148,2010-08-12,0.0166421056698755,0.01582857923817848,0.013967570544039763
149,149,149,2010-08-13,0.0143894128412478,0.01622411822873736,0.013564217726385486
150,150,150,2010-08-16,0.010889258690369,0.01613155444897298,0.013217337960087743
151,151,151,2010-08-17,0.0081754712098807,0.0137644332586979,0.012953257284638243
152,152,152,2010-08-18,0.0101163556505083,0.012042520812376261,0.012971836572654046
153,153,153,2010-08-19,0.0131940915883646,0.01135291799607408,0.012972092053948477
154,154,154,2010-08-20,0.01626425941671,0.011727887311166519,0.013350510327820309
155,155,155,2010-08-23,0.0096255765142706,0.011475150875946841,0.013164603020355062
156,156,156,2010-08-24,0.0149188577441055,0.0128238281827918,0.01345251291321166
157,157,157,2010-08-25,0.0141186931472206,0.01362429568213426,0.013750927700034384
158,158,158,2010-08-26,0.0116171611716913,0.013308909598799601,0.013843958613283233
159,159,159,2010-08-27,0.0090706487945528,0.01187018747436816,0.01364469659111137
160,160,160,2010-08-30,0.0065363169224255,0.01125233555599914,0.013557652635896372
161,161,161,2010-08-31,0.0061150863767298,0.009491581282524,0.013421947885801871
162,162,162,2010-09-01,0.0181270436370168,0.01029325138048324,0.013415334485158768
163,163,163,2010-09-02,0.0079610782329287,0.00956203479273072,0.012782192635921206
164,164,164,2010-09-03,0.012354199734116,0.01021874498064336,0.012505543231572876
165,165,165,2010-09-06,0.0089937469515871,0.01071023098647568,0.012342782710769721
166,166,166,2010-09-07,0.0129471852280904,0.012076650756747801,0.01241874021738398
167,167,167,2010-09-08,0.0054159259024452,0.00953442720983348,0.011723733014583463
168,168,168,2010-09-09,0.014157247072699,0.01077366097778754,0.011506177261754057
169,169,169,2010-09-10,0.0124461059585429,0.01079204222267292,0.0113063677516906
170,170,170,2010-09-13,0.0071310252626508,0.010419497884885661,0.010960730247947885
171,171,171,2010-09-14,0.008735944387403,0.009577249716748181,0.010858191471616171
172,172,172,2010-09-15,0.010128122693035,0.01051968907486614,0.010951174875575901
173,173,173,2010-09-16,0.0182208029251315,0.01133240024535264,0.011337100936272243
174,174,174,2010-09-17,0.0094111630615014,0.01072541166594434,0.011156961482612091
175,175,175,2010-09-20,0.020496588586338,0.013398524330681779,0.01135850096688009
176,176,176,2010-09-21,0.0069458453684389,0.013040504526888961,0.011230894721840487
177,177,177,2010-09-27,0.0052981245576783,0.01207450489981762,0.010772764570105857
178,178,178,2010-09-28,0.0043824697505629,0.009306838264903899,0.010309134884550729
179,179,179,2010-09-29,0.0081993013618174,0.0090644659249671,0.010146379655509115
180,180,180,2010-09-30,0.0074928298004683,0.006463714167793159,0.010071245417695567
181,181,181,2010-10-08,0.0101267451109937,0.00709989411630412,0.010242218188579766
182,182,182,2010-10-11,0.0185585354545154,0.009751976295671538,0.010834763382760034
183,183,183,2010-10-12,0.0122637278554426,0.01132822791664748,0.010555557869351737
184,184,184,2010-10-13,0.0289205665369014,0.01547248095166428,0.011553628740969487
185,185,185,2010-10-14,0.0313837885872985,0.02025067270903032,0.01245979963874008
186,186,186,2010-10-15,0.0239944928634567,0.02302422225952292,0.01317412087263863
187,187,187,2010-10-18,0.0807154635987297,0.035455607888365784,0.016401181747430982
188,188,188,2010-10-19,0.0303847234829843,0.03907980701387412,0.017590172108409036
189,189,189,2010-10-20,0.0562389752010487,0.04454348874670358,0.019594063924044735
190,190,190,2010-10-21,0.0328917264714077,0.044845076323525426,0.02056766490084782
191,191,191,2010-10-22,0.0214427245061179,0.04433472265205766,0.02124917438863197
